#;Author;Title;Year;ISBN;Publisher;LLC;Stock
88;Abay Kappassov;Programming C++;2019;12344321;NUFYP CPS 2Block;123123;0
89;Wang, Lingfeng;Modern industrial automation software design:principles and real-world examples;© 2006;9780471683735, 0471683736;John Wiley and Sons, Inc.;T59.5 .W36 2006;3
90;Garrett, Patrick H.;Advanced instrumentation and computer I/O design:real-time system computer interface engineering;©1994;9,78E+12;IEEE Press; ;2
91;Garrett, Patrick H.;Advanced instrumentation and computer I/O design:real-time system computer interface engineering;©1994;9780780360136, 0780360133;IEEE Press;TK7887.5 .G368 1994;14
92;Hahn, Brian D.;Essential Java for scientists and engineers;©2002;9780750659918, 0750659912;Butterworth-Heinemann;QA76.73.J38 .H34 2002;16
93;Brookshear, J. Glenn;Computer science:an overview;©2009;9780321544285, 0321544285;Pearson Education, Inc.;QA37.3 .B76 2009;10
94;Mangano, Sal;Mathematica cookbook;©2010;9,78E+12;O'Reilly;QA76.95 .M36 2010;7
95;Levy, Steven;Hackers:heroes of the computer revolution;©2010;9,78E+12;O'Reilly Media;QA76.6 .L469 2010;6
96;Ensmenger, Nathan;The computer boys take over:computers, programmers, and the politics of technical expertise;©2010;9,78E+12;MIT Press;QA76.6 .E58 2010;12
97;Voelz, David;Computational fourier optics:a MATLAB tutorial;©2011;9,78E+12;SPIE Press;TA1637 .V674 2011;3
98;Schach, Stephen R.;Object-oriented and classical software engineering;©2011;9,78E+12;McGraw-Hill Connect Learn Succeed;QA76.758 .S318 2011;10
99;Toulson, Rob;Fast and effective embedded systems design:applying the ARM mbed;©2012;9,78E+12;Newnes;TK7895.E42 .T68 2012;5
100;Sandige, Richard S.;Fundamentals of digital and computer design with VHDL;©2012;9,78E+12;McGraw-Hill Higher Education;TK7868.D5 .S26 2012;8
101;Gardener, Mark;Beginning R:the statistical programming language;©2012;9781118264126 , 9781118164303, 9781118164303, 9781118226162 , 9781118239377 ;John Wiley & Sons , Inc.;QA276.45.R3  .G37 2012;5
102;Smith, David M.;Engineering computation with MATLAB;©2013;9780273769132, 0273769138;Pearson Education Limited;TA345 .S585 2013;12
103;Martinez, Sylvia Libow;Invent to learn:making, tinkering, and engineering in the classroom;©2013;9,78E+12;Constructing Modern Knowledge Press;LB1028.3 .M3818 2013;3
104;Quarteroni, Alfio;Scientific computing with Matlab and Octave;©2014;9783642453663, 9783642453670;Springer;Q183.9   .Q8313 2006   ;4
105;Larsen, Ronald W.;Engineering with Excel;©2014;9,78E+12;Pearson Education Limited;TA345 .L37 2014;18
106;Kung, David C.;Object-oriented software engineering:an agile unified methodology;©2014;9,78E+12;McGraw-Hill;QA76.758 .K86 2014;18
107;Giannakopoulos, Theodoros;Introduction to audio analysis:a matlab approach;©2014;9,78E+12;Academic Press;TK7881.4  .G53 2014;20
108;Finkelstein, Ellen;AutoCAD 2015 and AutoCAD LT 2015 Bible;©2014;9,78E+12;Wiley;T385 .F565 2014;17
109;Dean, John;Introduction to programming with Java:a problem solving approach;©2014;9,78E+12;McGraw-Hill;QA76.73.J38 .D43 2014;19
110;;Euro-Par 2013:parallel processing workshops;©2014;9783642544194, 9783642544200;Springer;QA76.58 .I58 2014;10
111;;Fundamental approaches to software engineering:17th international conference, FASE 2014, held as part of the European joint conferences on theory and practice of software, ETAPS 2014, Grenoble, France, April 5-13, 2014, Proceedings;©2014;9783642548031, 9783642548048;Springer;QA76.758 .F89 2014;16
112;;Knowledge discovery, knowledge engineering and knowledge management:4th International Joint Conference, IC3K 2012, Barcelona, Spain, October 4-7, 2012, Revised selected papers;©2014;9783642541049, 9783642541056;Springer;QA76.9.D343 .K56 2014;18
113;Reinders, James;High performance parallelism pearls:multicore and many-core programming approaches;©2015;9,78E+12;Elsevier;QA76.642   .H54 2015;14
114;Pressman, Roger S.;Software engineering:a practitioner's approach;©2015;9,78E+12;McGraw-Hill Education ;QA76.6 .P74 2015;11
115;Molloy, Derek;Exploring BeagleBone:tools and techniques for building with embedded Linux;©2015;9781118935125, 9781118935132, 9781118935217;John Wiley & Sons, Inc.;TK7895.E42 .M6556 2015;9
116;Laakmann McDowell, Gayle;Cracking the coding interview:189 programming interview questions and solutions;©2015;9,78E+12;CareerCup;QA76.6 .M34 2015;12
117;Fan, Xiaocong;Real-time embedded systems:design principles and engineering practices;©2015;9,78E+12;Newnes;TK7895.E42 .F36 2015;9
118;Bard, Gregory V.;Sage for undergraduates;©2015;9,78E+12;American Mathematical Society;QA155.7.E4 B37 2015;20
119;Altice, Nathan;I am error:the Nintendo family computer/entertainment system platform;©2015;9,78E+12;MIT Press;GV1469.32 A55 2015;10
120;;Gray hat hacking:the ethical hacker's handbook;©2015;9,78E+12;McGraw-Hill Education;QA76.9.A25 .G743 2015;3
121;Cano, Nick;Game hacking:developing autonomous bots for online games;©2016;9,78E+12;No Starch Press, Inc.;QA76.76.I58 .C36 2016;15
122;Anthony, Richard John;Systems programming:designing and developing distributed applications;©2016;9,78E+12;Morgan Kaufmann;QA76.66 .A58 2016;18
123;;Hydrocarbon and lipid microbiology protocols:statistics, data analysis, bioinformatics and modelling;©2016;9,78E+12;Springer;QP751 .H93 2016;16
124;Tolic, Domagoj;Networked control systems with intermittent feedback;©2017;9,78E+12;CRC Press;TJ216 .T64 2017;4
125;Larsen, Ronald W.;Engineering with Excel;©2017;9780134589664, 0134589661;Pearson;TA345 .L37 2017;9
126;Heys, Jeffrey J.;Chemical and biomedical engineering calculations using Python;©2017;9,78E+12;John Wiley & Sons, Inc.;TA330 .H49 2017;12
127;Best, Michael J.;Quadratic programming with computer programs;©2017;9,78E+12;CRC Press;T57.82 .B47 2017;1
128;Attaway, Stormy;MATLAB:a practical introduction to programming and problem solving;©2017;9,78E+12;Butterworth-Heinemann;QA297 .A87 2017;4
129;Abdel-Magid, Isam Mohammed;Computer modeling applications for environmental engineers;©2017;9,78E+12;CRC Press;TD192 .A23 2017;11
